Day,M_PV ,L  ,S  ,M_B
1,2.90992,4168,9,0.766871
2,2.4287,3932,30,0.71536
3,2.23271,3836,0,0
4,2.20896,4508,6,0.461165
5,2.08122,4420,9,0.656724
6,2.24152,4456,9,0.656724
7,2.0759,4560,14,0.498267
8,2.19792,4616,43,0.415717
9,2.14564,4020,0,0
10,3.22763,3948,0,2.239764
11,2.36331,4664,57,0.203124
12,2.42124,4596,48,0.305066
13,2.48795,4700,72,0.267093
14,2.31986,4744,129,0.20292
15,2.20221,4584,32,0.397192
16,2.45034,4120,0,1.778226
17,2.20873,3928,0,7.25
18,2.5124,4560,43,0.355813
19,2.28232,4684,44,0.373733
20,2.32719,4644,164,0.235179
21,2.73963,4740,141,0.215755
22,2.58107,4732,105,0.227205
23,2.55655,4276,39,0.368492
24,2.44439,4040,0,0.562738
25,2.35236,4748,165,0.186574
26,2.61732,4820,79,0.301156
27,2.47376,4828,126,0.207818
28,2.6891,4932,137,0.191566
29,2.56336,4764,59,0.325529
30,2.76284,3996,0,1.921083
31,2.35469,4148,6,0.239629
32,2.3556,4828,114,0.187355
33,2.44562,4516,1,0.316374
34,2.70901,4772,145,0.188812
35,2.53898,4828,53,0.307449
36,2.66825,5212,14,0.540029
37,2.95531,4584,1,0.62303
38,2.5904,4444,0,1.294643
39,2.76691,5232,23,0.330668
40,3.88572,5296,52,0.303828
41,2.90949,5260,35,0.385361
42,2.70817,5232,35,0.286844
43,2.65129,5208,13,0.630995
44,2.85724,4328,0,0
45,3.3549,4228,0,7.25
46,3.19963,4928,0,0.460096
47,3.01707,5092,39,0.368492
48,3.34662,5112,10,0.308287
49,2.91374,5384,84,0.252031
50,3.27718,5364,40,0.33551
51,3.26108,4608,0,1.778226
52,3.38269,4568,0,0.660493
53,3.08284,5164,124,0.248955
54,3.04051,5212,17,0.57975
55,3.5301,5077.33,22.11,0.274636
56,3.60628,5174.67,60,0.279645
57,3.68014,5124,35,0.317508
58,3.6816,4584,0,1.977273
59,3.72022,4376,0,0.805556
60,3.63319,5604,28,0.306763
61,3.89183,5668,56,0.263012
62,4.07576,5616,36,0.273678
63,3.84401,5480,40,0.28084
64,3.95605,4904,0,0
65,3.5656,4828,0,1.856351
66,3.68109,5692,68,0.279645
67,3.9805,5624,84,0.261394
68,4.10172,5516,56,0.273331
69,4.21091,5664,40,0.28084
70,3.94489,5764,18,0.463112
71,4.0573,4912,0,0
72,4.26899,4804,5,0.804196
73,4.2696,5636,156,0.229705
74,4.60449,5576,56,0.273331
75,4.46173,5560,27,0.38374
76,4.01883,5624,76,0.2669
77,4.2999,5624,52,0.263012
78,4.18832,5260,1,0.517749
79,5.9179,4840,0,0
80,4.61126,5512,95,0.343377
81,4.84921,5740,152,0.25
82,3.66213,5556,15,0.315131
83,4.48676,5584,47,0.34621
84,4.65822,5424,10,0.461165
85,4.20625,4972,0,0
86,4.99716,4784,0,0
87,4.38493,5324,19,0.315131
88,4.95452,5428,31,0.335628
89,4.70092,5472,72,0.259778
90,4.42389,5540,18,0.455544
91,4.66957,5452,6,0.404673
92,4.86485,4696,0,0
93,5.12836,5136,0,0
94,4.83352,5804,192,0.25
95,4.73791,6284,67,0.333977
96,5.09233,6208,103,0.324232
97,4.72675,6240,55,0.354396
98,5.21116,6168,0,3.625
99,5.40935,5412,0,2.239764
100,4.80685,5520,5,0.446493
101,4.84162,6434.67,0,0.499009
102,5.02937,6532,0,0.782619
103,4.92659,6564,111,0.324232
104,5.09888,6700,67,0.333333
105,5.21725,6464,35,0.357736
106,5.36498,6016,0,1.108745
107,5.17404,5816,0,0.782619
108,5.224,6412,10,0.360374
109,5.45928,6520,43,0.378708
110,4.79537,6624,83,0.333333
111,5.58445,6724,79,0.324876
112,5.48998,6648,35,0.347763
113,5.85442,5864,0,1.359375
114,6.11345,5652,1,0.563585
115,5.75008,6656,79,0.333333
116,5.2771,6612,63,0.333977
117,5.50966,6548,71,0.330314
118,4.40806,6708,59,0.33463
119,3.71751,6592,31,0.381563
120,5.5771,6004,6,0.5
121,6.09756,5892,0,0
122,6.28135,6744,20,0.477526
123,5.95281,6704,54,0.351031
124,6.01672,6704,36,0.440746
125,5.84379,6592,26,0.383513
126,5.97981,6956.44,86,0.333333
127,5.70817,5868,0,1.315385
128,6.49719,5704,0,4.5
129,6.09442,6416,30,0.383513
130,5.89376,6568,34,0.375283
131,6.11399,6560,54,0.399884
132,6.41839,6480,0,0.70936
133,6.14543,6448,2,0.472906
134,6.01502,5672,0,0
135,6.02205,5380,0,0
136,4.57536,6392,0,0.910714
137,6.35632,6544,46,0.333333
138,5.6623,6520,0,2.25
139,6.59052,6628,20,0.599686
140,6.12539,6536,6,0.640909
141,6.38783,5856,0,1.821429
142,6.2858,5636,0,0.910714
143,6.55957,6664,50,0.372494
144,6.2773,6644,20,0.534058
145,6.30438,6420,0,1.821429
146,5.61954,6460,26,0.383513
147,5.96965,6400,2,0.472906
148,6.59184,5571.56,14,1
149,5.70645,5472,0,0
150,6.23355,6124,0,0
151,6.54213,6360,2,0.673797
152,5.8728,6540,58,0.372494
153,5.65514,6380,0,1.170608
154,6.18384,6340,0,0.910714
155,6.00812,5460,0,0
156,5.76844,5848.84,0,1.507656
157,5.6675,6493.14,132,0.284028
158,5.8464,7168,148,0.24414
159,6.06652,7220,70,0.333333
160,5.37137,7244,90,0.333333
161,5.49705,6776,46,0.333333
162,5.70923,6028,12,0.5
163,5.43348,6392,0,0.910714
164,5.34471,7656,94,0.372494
165,5.60196,8196,68,0.445101
166,5.85274,7292,24,0.509804
167,6.07636,6888,54,0.372494
168,5.74228,7332,28,0.509804
169,5.69049,6456,6,0.539096
170,5.1615,6528,12,0.390203
171,5.31615,7148,130,0.319604
172,5.61763,7184,110,0.319604
173,6.45333,7112,70,0.319604
174,4.85302,7644,52,0.5
175,5.26295,7676,32,0.543067
176,5.37384,6624,14,1
177,5.47268,6460,28,0.509804
178,5.1701,7624,88,0.462171
179,5.03508,7652,82,0.399884
180,5.4678,7584,60,0.4875
181,5.39938,7500,24,0.550725
182,5.26518,7140,6,0.539096
183,5.26568,6352,0,1.821429
184,6.52251,5988,0,1.633929
185,4.99378,6324,16,0.350242
186,5.29836,6648,50,0.372494
187,4.90482,7152,44,0.515625
188,5.154,7160,72,0.4875
189,4.91343,7220,2,0.796154
190,5.05196,6564,14,1
191,4.75858,6760,10,0.640909
192,5.35188,7688,166,0.276352
193,5.33097,7216,102,0.333333
194,5.48407,7248,296,0.216226
195,5.27762,7212,166,0.306964
196,5.05365,7160,130,0.333333
197,6.52146,5936,8,0.5
198,5.01926,6496,38,0.353801
199,4.68027,6860,102,0.333333
200,4.86513,6976,106,0.327586
201,4.7386,6936,102,0.333333
202,4.74529,6840,46,0.372494
203,4.75717,6768,50,0.351031
204,4.75954,5968,0,0.70936
205,4.68135,6104,0,1.186813
206,4.90923,6816,78,0.230497
207,5.33054,6892,124,0.135017
208,4.55182,6864,144,0.129212
209,4.69977,7200,242,0.119409
210,4.48579,6864,80,0.225481
211,5.45615,6332,12,0.475
212,4.45153,6212,38,0.318642
213,4.64947,6848,66,0.333333
